customerid,month_start,preferences,type,revenue/income,list_of_posts
CUST009,2025-02-01,Low interest,organization,0.0,[]
CUST009,2025-03-01,Low interest,organization,0.0,['Check out our latest construction project in downtown LA!']
CUST009,2025-04-01,Low interest,organization,0.0,[]
CUST009,2025-05-01,Low interest,organization,0.0,"['The impact of live music on mental health.', 'The best studio setup for indie artists in 2025.', 'Throwback to our first major concert production!']"
CUST009,2025-06-01,Low interest,organization,0.0,[]
CUST009,2025-07-01,Low interest,organization,8659.0,[]
CUST009,2025-08-01,Low interest,organization,0.0,[]
CUST009,2025-09-01,Low interest,organization,0.0,[]
CUST009,2025-10-01,Low interest,organization,0.0,[]
CUST010,2025-02-01,Flexible terms,organization,0.0,[]
CUST010,2025-03-01,Flexible terms,organization,0.0,['Transportation and logistics: The rise of electric trucks.']
CUST010,2025-04-01,Flexible terms,organization,0.0,[]
CUST010,2025-05-01,Flexible terms,organization,0.0,"['The rise of electric public transport—what’s next?', 'Self-driving trucks: Are they the future of logistics?', 'Why high-speed rail is a game changer for global transport.']"
CUST010,2025-06-01,Flexible terms,organization,0.0,[]
CUST010,2025-07-01,Flexible terms,organization,13999.0,[]
CUST010,2025-08-01,Flexible terms,organization,0.0,[]
CUST010,2025-09-01,Flexible terms,organization,0.0,[]
CUST010,2025-10-01,Flexible terms,organization,0.0,[]
CUST011,2025-02-01,Private funding,organization,0.0,[]
CUST011,2025-03-01,Private funding,organization,0.0,[]
CUST011,2025-04-01,Private funding,organization,0.0,[]
CUST011,2025-05-01,Private funding,organization,0.0,[]
CUST011,2025-06-01,Private funding,organization,0.0,[]
CUST011,2025-07-01,Private funding,organization,0.0,[]
CUST011,2025-08-01,Private funding,organization,0.0,[]
CUST011,2025-09-01,Private funding,organization,0.0,[]
CUST011,2025-10-01,Private funding,organization,0.0,[]
CUST012,2025-02-01,High return,organization,0.0,[]
CUST012,2025-03-01,High return,organization,0.0,[]
CUST012,2025-04-01,High return,organization,0.0,[]
CUST012,2025-05-01,High return,organization,0.0,[]
CUST012,2025-06-01,High return,organization,0.0,[]
CUST012,2025-07-01,High return,organization,0.0,[]
CUST012,2025-08-01,High return,organization,0.0,[]
CUST012,2025-09-01,High return,organization,0.0,[]
CUST012,2025-10-01,High return,organization,0.0,[]
CUST013,2025-02-01,Government subsidy,organization,0.0,[]
CUST013,2025-03-01,Government subsidy,organization,0.0,[]
CUST013,2025-04-01,Government subsidy,organization,0.0,[]
CUST013,2025-05-01,Government subsidy,organization,0.0,[]
CUST013,2025-06-01,Government subsidy,organization,0.0,[]
CUST013,2025-07-01,Government subsidy,organization,0.0,[]
CUST013,2025-08-01,Government subsidy,organization,0.0,[]
CUST013,2025-09-01,Government subsidy,organization,0.0,[]
CUST013,2025-10-01,Government subsidy,organization,0.0,[]
CUST014,2025-02-01,Short-term,organization,0.0,[]
CUST014,2025-03-01,Short-term,organization,0.0,[]
CUST014,2025-04-01,Short-term,organization,0.0,[]
CUST014,2025-05-01,Short-term,organization,0.0,[]
CUST014,2025-06-01,Short-term,organization,0.0,[]
CUST014,2025-07-01,Short-term,organization,0.0,[]
CUST014,2025-08-01,Short-term,organization,0.0,[]
CUST014,2025-09-01,Short-term,organization,0.0,[]
CUST014,2025-10-01,Short-term,organization,0.0,[]
CUST015,2025-02-01,High growth,organization,0.0,[]
CUST015,2025-03-01,High growth,organization,0.0,[]
CUST015,2025-04-01,High growth,organization,0.0,[]
CUST015,2025-05-01,High growth,organization,0.0,[]
CUST015,2025-06-01,High growth,organization,0.0,[]
CUST015,2025-07-01,High growth,organization,0.0,[]
CUST015,2025-08-01,High growth,organization,0.0,[]
CUST015,2025-09-01,High growth,organization,0.0,[]
CUST015,2025-10-01,High growth,organization,0.0,[]
CUST016,2025-02-01,Leasing option,organization,0.0,[]
CUST016,2025-03-01,Leasing option,organization,0.0,[]
CUST016,2025-04-01,Leasing option,organization,0.0,[]
CUST016,2025-05-01,Leasing option,organization,0.0,[]
CUST016,2025-06-01,Leasing option,organization,0.0,[]
CUST016,2025-07-01,Leasing option,organization,0.0,[]
CUST016,2025-08-01,Leasing option,organization,0.0,[]
CUST016,2025-09-01,Leasing option,organization,0.0,[]
CUST016,2025-10-01,Leasing option,organization,0.0,[]
CUST017,2025-02-01,Collateral-backed,organization,0.0,[]
CUST017,2025-03-01,Collateral-backed,organization,0.0,[]
CUST017,2025-04-01,Collateral-backed,organization,0.0,[]
CUST017,2025-05-01,Collateral-backed,organization,0.0,[]
CUST017,2025-06-01,Collateral-backed,organization,0.0,[]
CUST017,2025-07-01,Collateral-backed,organization,0.0,[]
CUST017,2025-08-01,Collateral-backed,organization,0.0,[]
CUST017,2025-09-01,Collateral-backed,organization,0.0,[]
CUST017,2025-10-01,Collateral-backed,organization,0.0,[]
CUST018,2025-02-01,Long-term,organization,0.0,[]
CUST018,2025-03-01,Long-term,organization,0.0,[]
CUST018,2025-04-01,Long-term,organization,0.0,[]
CUST018,2025-05-01,Long-term,organization,0.0,[]
CUST018,2025-06-01,Long-term,organization,0.0,[]
CUST018,2025-07-01,Long-term,organization,0.0,[]
CUST018,2025-08-01,Long-term,organization,0.0,[]
CUST018,2025-09-01,Long-term,organization,0.0,[]
CUST018,2025-10-01,Long-term,organization,0.0,[]
CUST019,2025-02-01,No collateral,organization,0.0,[]
CUST019,2025-03-01,No collateral,organization,0.0,[]
CUST019,2025-04-01,No collateral,organization,0.0,[]
CUST019,2025-05-01,No collateral,organization,0.0,[]
CUST019,2025-06-01,No collateral,organization,0.0,[]
CUST019,2025-07-01,No collateral,organization,0.0,[]
CUST019,2025-08-01,No collateral,organization,0.0,[]
CUST019,2025-09-01,No collateral,organization,0.0,[]
CUST019,2025-10-01,No collateral,organization,0.0,[]
CUST020,2025-02-01,Private sponsorship,organization,0.0,[]
CUST020,2025-03-01,Private sponsorship,organization,0.0,[]
CUST020,2025-04-01,Private sponsorship,organization,0.0,[]
CUST020,2025-05-01,Private sponsorship,organization,0.0,[]
CUST020,2025-06-01,Private sponsorship,organization,0.0,[]
CUST020,2025-07-01,Private sponsorship,organization,0.0,[]
CUST020,2025-08-01,Private sponsorship,organization,0.0,[]
CUST020,2025-09-01,Private sponsorship,organization,0.0,[]
CUST020,2025-10-01,Private sponsorship,organization,0.0,[]
CUST021,2025-02-01,Revolving,organization,0.0,[]
CUST021,2025-03-01,Revolving,organization,0.0,[]
CUST021,2025-04-01,Revolving,organization,0.0,[]
CUST021,2025-05-01,Revolving,organization,0.0,[]
CUST021,2025-06-01,Revolving,organization,0.0,[]
CUST021,2025-07-01,Revolving,organization,0.0,[]
CUST021,2025-08-01,Revolving,organization,0.0,[]
CUST021,2025-09-01,Revolving,organization,0.0,[]
CUST021,2025-10-01,Revolving,organization,0.0,[]
CUST022,2025-02-01,Low interest,organization,0.0,[]
CUST022,2025-03-01,Low interest,organization,0.0,[]
CUST022,2025-04-01,Low interest,organization,0.0,[]
CUST022,2025-05-01,Low interest,organization,0.0,[]
CUST022,2025-06-01,Low interest,organization,0.0,[]
CUST022,2025-07-01,Low interest,organization,0.0,[]
CUST022,2025-08-01,Low interest,organization,0.0,[]
CUST022,2025-09-01,Low interest,organization,0.0,[]
CUST022,2025-10-01,Low interest,organization,0.0,[]
CUST023,2025-02-01,Sustainable projects,organization,0.0,[]
CUST023,2025-03-01,Sustainable projects,organization,0.0,[]
CUST023,2025-04-01,Sustainable projects,organization,0.0,[]
CUST023,2025-05-01,Sustainable projects,organization,0.0,[]
CUST023,2025-06-01,Sustainable projects,organization,0.0,[]
CUST023,2025-07-01,Sustainable projects,organization,0.0,[]
CUST023,2025-08-01,Sustainable projects,organization,0.0,[]
CUST023,2025-09-01,Sustainable projects,organization,0.0,[]
CUST023,2025-10-01,Sustainable projects,organization,0.0,[]
CUST024,2025-02-01,Government-backed,organization,0.0,[]
CUST024,2025-03-01,Government-backed,organization,0.0,[]
CUST024,2025-04-01,Government-backed,organization,0.0,[]
CUST024,2025-05-01,Government-backed,organization,0.0,[]
CUST024,2025-06-01,Government-backed,organization,0.0,[]
CUST024,2025-07-01,Government-backed,organization,0.0,[]
CUST024,2025-08-01,Government-backed,organization,0.0,[]
CUST024,2025-09-01,Government-backed,organization,0.0,[]
CUST024,2025-10-01,Government-backed,organization,0.0,[]
CUST025,2025-02-01,Short-term,organization,0.0,[]
CUST025,2025-03-01,Short-term,organization,0.0,[]
CUST025,2025-04-01,Short-term,organization,0.0,[]
CUST025,2025-05-01,Short-term,organization,0.0,[]
CUST025,2025-06-01,Short-term,organization,0.0,[]
CUST025,2025-07-01,Short-term,organization,0.0,[]
CUST025,2025-08-01,Short-term,organization,0.0,[]
CUST025,2025-09-01,Short-term,organization,0.0,[]
CUST025,2025-10-01,Short-term,organization,0.0,[]
CUST026,2025-02-01,High risk,organization,0.0,[]
CUST026,2025-03-01,High risk,organization,0.0,[]
CUST026,2025-04-01,High risk,organization,0.0,[]
CUST026,2025-05-01,High risk,organization,0.0,[]
CUST026,2025-06-01,High risk,organization,0.0,[]
CUST026,2025-07-01,High risk,organization,0.0,[]
CUST026,2025-08-01,High risk,organization,0.0,[]
CUST026,2025-09-01,High risk,organization,0.0,[]
CUST026,2025-10-01,High risk,organization,0.0,[]
CUST027,2025-02-01,Low interest,organization,0.0,[]
CUST027,2025-03-01,Low interest,organization,0.0,[]
CUST027,2025-04-01,Low interest,organization,0.0,[]
CUST027,2025-05-01,Low interest,organization,0.0,[]
CUST027,2025-06-01,Low interest,organization,0.0,[]
CUST027,2025-07-01,Low interest,organization,0.0,[]
CUST027,2025-08-01,Low interest,organization,0.0,[]
CUST027,2025-09-01,Low interest,organization,0.0,[]
CUST027,2025-10-01,Low interest,organization,0.0,[]
IND001,2025-02-01,Gadgets,individual,0.0,[]
IND001,2025-03-01,Gadgets,individual,0.0,['New JavaScript frameworks to watch in 2025!']
IND001,2025-04-01,Gadgets,individual,5250.0,"['Which programming languages will dominate in the next decade?', 'Frontend vs. Backend Development—Which career path is right for you?', 'How no-code and low-code platforms are changing the industry.']"
IND001,2025-05-01,Gadgets,individual,0.0,[]
IND001,2025-06-01,Gadgets,individual,0.0,[]
IND001,2025-07-01,Gadgets,individual,0.0,[]
IND001,2025-08-01,Gadgets,individual,0.0,[]
IND001,2025-09-01,Gadgets,individual,0.0,[]
IND001,2025-10-01,Gadgets,individual,0.0,[]
IND002,2025-02-01,Healthy Lifestyle,individual,0.0,[]
IND002,2025-03-01,Healthy Lifestyle,individual,0.0,['5 quick home workouts to stay fit and healthy!']
IND002,2025-04-01,Healthy Lifestyle,individual,0.0,"['Easy meal prep ideas for busy professionals.', 'The science behind intermittent fasting—does it really work?', '5 tips for maintaining a healthy gut.']"
IND002,2025-05-01,Healthy Lifestyle,individual,1879.0,[]
IND002,2025-06-01,Healthy Lifestyle,individual,0.0,[]
IND002,2025-07-01,Healthy Lifestyle,individual,0.0,[]
IND002,2025-08-01,Healthy Lifestyle,individual,0.0,[]
IND002,2025-09-01,Healthy Lifestyle,individual,0.0,[]
IND002,2025-10-01,Healthy Lifestyle,individual,0.0,[]
IND003,2025-02-01,Investments,individual,0.0,[]
IND003,2025-03-01,Investments,individual,0.0,['Stock market trends: What’s driving the S&P 500 this quarter?']
IND003,2025-04-01,Investments,individual,0.0,"['How to create a diversified investment portfolio.', 'How inflation is affecting the real estate market.', 'Top 3 investment opportunities for young professionals.']"
IND003,2025-05-01,Investments,individual,3627.0,[]
IND003,2025-06-01,Investments,individual,0.0,[]
IND003,2025-07-01,Investments,individual,0.0,[]
IND003,2025-08-01,Investments,individual,0.0,[]
IND003,2025-09-01,Investments,individual,0.0,[]
IND003,2025-10-01,Investments,individual,0.0,[]
IND004,2025-02-01,Luxury Brands,individual,0.0,[]
IND004,2025-03-01,Luxury Brands,individual,0.0,['Spring fashion trends: What’s in and what’s out!']
IND004,2025-04-01,Luxury Brands,individual,0.0,"['How to build a timeless wardrobe—fashion tips!', 'Why sustainable fashion is the future.', 'Fashion influencers vs. traditional designers—who’s leading the industry?']"
IND004,2025-05-01,Luxury Brands,individual,7719.0,[]
IND004,2025-06-01,Luxury Brands,individual,0.0,[]
IND004,2025-07-01,Luxury Brands,individual,0.0,[]
IND004,2025-08-01,Luxury Brands,individual,0.0,[]
IND004,2025-09-01,Luxury Brands,individual,0.0,[]
IND004,2025-10-01,Luxury Brands,individual,0.0,[]
IND005,2025-02-01,Outdoor Activities,individual,0.0,[]
IND005,2025-03-01,Outdoor Activities,individual,0.0,['Who’s excited for the NBA playoffs? Predictions?']
IND005,2025-04-01,Outdoor Activities,individual,0.0,"['The rise of digital marketing in the sports industry.', 'Top 5 exercises to improve your game in any sport.', 'Should sports leagues embrace NFTs? The debate continues.']"
IND005,2025-05-01,Outdoor Activities,individual,3518.0,[]
IND005,2025-06-01,Outdoor Activities,individual,0.0,[]
IND005,2025-07-01,Outdoor Activities,individual,0.0,[]
IND005,2025-08-01,Outdoor Activities,individual,0.0,[]
IND005,2025-09-01,Outdoor Activities,individual,0.0,[]
IND005,2025-10-01,Outdoor Activities,individual,0.0,[]
IND006,2025-02-01,Adventure Trips,individual,0.0,[]
IND006,2025-03-01,Adventure Trips,individual,0.0,['Top 10 must-visit travel destinations for 2025!']
IND006,2025-04-01,Adventure Trips,individual,0.0,"['Best travel destinations for digital nomads.', 'How to find cheap flights and maximize your travel budget.', 'The dos and don’ts of sustainable travel.']"
IND006,2025-05-01,Adventure Trips,individual,1498.0,[]
IND006,2025-06-01,Adventure Trips,individual,1750.0,[]
IND006,2025-07-01,Adventure Trips,individual,0.0,[]
IND006,2025-08-01,Adventure Trips,individual,0.0,[]
IND006,2025-09-01,Adventure Trips,individual,0.0,[]
IND006,2025-10-01,Adventure Trips,individual,0.0,[]
IND007,2025-02-01,Property Investment,individual,0.0,[]
IND007,2025-03-01,Property Investment,individual,0.0,['Real estate investments: Is 2025 a buyer’s or seller’s market?']
IND007,2025-04-01,Property Investment,individual,0.0,"['5 things you need to know before investing in real estate.', 'Renting vs. buying—what makes the most financial sense in 2025?']"
IND007,2025-05-01,Property Investment,individual,0.0,['Why location still matters in real estate investment.']
IND007,2025-06-01,Property Investment,individual,5599.0,[]
IND007,2025-07-01,Property Investment,individual,0.0,[]
IND007,2025-08-01,Property Investment,individual,0.0,[]
IND007,2025-09-01,Property Investment,individual,0.0,[]
IND007,2025-10-01,Property Investment,individual,0.0,[]
IND008,2025-02-01,Self-Help Books,individual,0.0,[]
IND008,2025-03-01,Self-Help Books,individual,0.0,['Best self-help books to read this year!']
IND008,2025-04-01,Self-Help Books,individual,0.0,[]
IND008,2025-05-01,Self-Help Books,individual,0.0,"['Top 10 must-read books for self-improvement.', 'How audiobooks are changing the way we consume knowledge.', 'Print books vs. eBooks—Which one do you prefer?']"
IND008,2025-06-01,Self-Help Books,individual,1229.0,[]
IND008,2025-07-01,Self-Help Books,individual,0.0,[]
IND008,2025-08-01,Self-Help Books,individual,0.0,[]
IND008,2025-09-01,Self-Help Books,individual,0.0,[]
IND008,2025-10-01,Self-Help Books,individual,0.0,[]
IND009,2025-02-01,Live Concerts,individual,0.0,[]
IND009,2025-03-01,Live Concerts,individual,0.0,['Concert alert! Who’s coming to the Austin Music Festival?']
IND009,2025-04-01,Live Concerts,individual,0.0,[]
IND009,2025-05-01,Live Concerts,individual,0.0,"['How streaming platforms are changing the music industry.', 'Behind the scenes of live concert production!', 'Vinyl is making a comeback—what’s fueling the trend?']"
IND009,2025-06-01,Live Concerts,individual,4279.0,[]
IND009,2025-07-01,Live Concerts,individual,0.0,[]
IND009,2025-08-01,Live Concerts,individual,0.0,[]
IND009,2025-09-01,Live Concerts,individual,0.0,[]
IND009,2025-10-01,Live Concerts,individual,0.0,[]
IND010,2025-02-01,Painting,individual,0.0,[]
IND010,2025-03-01,Painting,individual,0.0,"['Artists, what’s your favorite medium to work with?']"
IND010,2025-04-01,Painting,individual,0.0,[]
IND010,2025-05-01,Painting,individual,0.0,"['10 beginner-friendly painting techniques.', 'How digital art is revolutionizing the creative industry.', 'Watercolor vs. oil painting—Which one do you prefer?']"
IND010,2025-06-01,Painting,individual,1848.0,[]
IND010,2025-07-01,Painting,individual,0.0,[]
IND010,2025-08-01,Painting,individual,0.0,[]
IND010,2025-09-01,Painting,individual,0.0,[]
IND010,2025-10-01,Painting,individual,0.0,[]
IND011,2025-02-01,Gourmet Food,individual,0.0,['Check out my new gourmet dish – recipe inside!']
IND011,2025-03-01,Gourmet Food,individual,0.0,[]
IND011,2025-04-01,Gourmet Food,individual,0.0,[]
IND011,2025-05-01,Gourmet Food,individual,0.0,"['How to create a Michelin-star-level dish at home.', 'Behind the scenes of a professional kitchen!', 'The impact of farm-to-table dining on local economies.']"
IND011,2025-06-01,Gourmet Food,individual,1200.0,[]
IND011,2025-07-01,Gourmet Food,individual,6478.0,[]
IND011,2025-08-01,Gourmet Food,individual,0.0,[]
IND011,2025-09-01,Gourmet Food,individual,0.0,[]
IND011,2025-10-01,Gourmet Food,individual,0.0,[]
IND012,2025-02-01,Public Policy,individual,0.0,['Public policy changes that could impact small businesses.']
IND012,2025-03-01,Public Policy,individual,0.0,[]
IND012,2025-04-01,Public Policy,individual,0.0,[]
IND012,2025-05-01,Public Policy,individual,0.0,"['Why civic engagement matters in 2025.', 'How new policies are shaping small business regulations.', 'Breaking down the biggest public policy changes this year.']"
IND012,2025-06-01,Public Policy,individual,0.0,[]
IND012,2025-07-01,Public Policy,individual,6329.0,[]
IND012,2025-08-01,Public Policy,individual,0.0,[]
IND012,2025-09-01,Public Policy,individual,0.0,[]
IND012,2025-10-01,Public Policy,individual,0.0,[]
IND013,2025-02-01,Portraits,individual,0.0,['Photography tip: How to capture perfect lighting.']
IND013,2025-03-01,Portraits,individual,0.0,[]
IND013,2025-04-01,Portraits,individual,0.0,[]
IND013,2025-05-01,Portraits,individual,0.0,"['Photography hacks for stunning portraits!', 'The best DSLR cameras in 2025—Which one should you get?', 'The evolution of photography styles over the last decade.']"
IND013,2025-06-01,Portraits,individual,0.0,[]
IND013,2025-07-01,Portraits,individual,1800.0,[]
IND013,2025-08-01,Portraits,individual,659.0,[]
IND013,2025-09-01,Portraits,individual,0.0,[]
IND013,2025-10-01,Portraits,individual,0.0,[]
IND014,2025-02-01,Zero-Waste Lifestyle,individual,0.0,['Let’s talk sustainability – what steps are you taking?']
IND014,2025-03-01,Zero-Waste Lifestyle,individual,0.0,[]
IND014,2025-04-01,Zero-Waste Lifestyle,individual,0.0,[]
IND014,2025-05-01,Zero-Waste Lifestyle,individual,0.0,"['How businesses can go zero-waste in their operations.', 'Simple swaps for a more sustainable lifestyle.', 'The impact of fast fashion on the environment.']"
IND014,2025-06-01,Zero-Waste Lifestyle,individual,0.0,[]
IND014,2025-07-01,Zero-Waste Lifestyle,individual,0.0,[]
IND014,2025-08-01,Zero-Waste Lifestyle,individual,10399.0,[]
IND014,2025-09-01,Zero-Waste Lifestyle,individual,0.0,[]
IND014,2025-10-01,Zero-Waste Lifestyle,individual,0.0,[]
IND015,2025-02-01,Luxury Cars,individual,0.0,['The top 5 luxury car releases of the year!']
IND015,2025-03-01,Luxury Cars,individual,0.0,[]
IND015,2025-04-01,Luxury Cars,individual,0.0,[]
IND015,2025-05-01,Luxury Cars,individual,0.0,[]
IND015,2025-06-01,Luxury Cars,individual,0.0,"['Top 5 luxury cars of the year—Which is your favorite?', 'How electric sports cars are redefining performance.', 'Would you buy a self-driving supercar? Let’s discuss!']"
IND015,2025-07-01,Luxury Cars,individual,0.0,[]
IND015,2025-08-01,Luxury Cars,individual,16599.0,[]
IND015,2025-09-01,Luxury Cars,individual,0.0,[]
IND015,2025-10-01,Luxury Cars,individual,0.0,[]
IND016,2025-02-01,Social Work,individual,0.0,[]
IND016,2025-03-01,Social Work,individual,0.0,[]
IND016,2025-04-01,Social Work,individual,0.0,[]
IND016,2025-05-01,Social Work,individual,0.0,[]
IND016,2025-06-01,Social Work,individual,0.0,"['How nonprofits can leverage social media for impact.', 'Volunteering stories: Making a real difference in communities.', 'Why corporate social responsibility is more important than ever.']"
IND016,2025-07-01,Social Work,individual,0.0,[]
IND016,2025-08-01,Social Work,individual,6099.0,[]
IND016,2025-09-01,Social Work,individual,0.0,[]
IND016,2025-10-01,Social Work,individual,0.0,[]
IND017,2025-02-01,AI & Robotics,individual,0.0,[]
IND017,2025-03-01,AI & Robotics,individual,0.0,[]
IND017,2025-04-01,AI & Robotics,individual,0.0,[]
IND017,2025-05-01,AI & Robotics,individual,0.0,[]
IND017,2025-06-01,AI & Robotics,individual,0.0,"['Building your first AI model—where to start.', 'How AI is transforming the job market.', 'The ethics of AI—How can we ensure responsible innovation?']"
IND017,2025-07-01,AI & Robotics,individual,0.0,[]
IND017,2025-08-01,AI & Robotics,individual,13349.0,[]
IND017,2025-09-01,AI & Robotics,individual,0.0,[]
IND017,2025-10-01,AI & Robotics,individual,0.0,[]
IND018,2025-02-01,Ballet,individual,0.0,[]
IND018,2025-03-01,Ballet,individual,0.0,[]
IND018,2025-04-01,Ballet,individual,0.0,[]
IND018,2025-05-01,Ballet,individual,0.0,[]
IND018,2025-06-01,Ballet,individual,0.0,"['The role of ballet in modern dance education.', 'Best stretches for dancers—Stay flexible!', 'Why dance is great for mental health and mindfulness.']"
IND018,2025-07-01,Ballet,individual,0.0,[]
IND018,2025-08-01,Ballet,individual,2100.0,[]
IND018,2025-09-01,Ballet,individual,1799.0,[]
IND018,2025-10-01,Ballet,individual,0.0,[]
IND019,2025-02-01,Esports,individual,0.0,[]
IND019,2025-03-01,Esports,individual,0.0,[]
IND019,2025-04-01,Esports,individual,0.0,[]
IND019,2025-05-01,Esports,individual,0.0,[]
IND019,2025-06-01,Esports,individual,0.0,"['Esports in the Olympics—Is it finally happening?', 'Behind the scenes at an esports tournament!', 'How VR is changing the future of gaming.']"
IND019,2025-07-01,Esports,individual,0.0,[]
IND019,2025-08-01,Esports,individual,0.0,[]
IND019,2025-09-01,Esports,individual,6299.0,[]
IND019,2025-10-01,Esports,individual,0.0,[]
IND020,2025-02-01,Yoga,individual,0.0,[]
IND020,2025-03-01,Yoga,individual,0.0,[]
IND020,2025-04-01,Yoga,individual,0.0,[]
IND020,2025-05-01,Yoga,individual,0.0,[]
IND020,2025-06-01,Yoga,individual,0.0,"['Yoga and mindfulness—Why they’re essential for productivity.', '5 beginner-friendly yoga poses to start your day!', 'How breathwork can reduce stress and improve focus.']"
