Customer_ID,Post_ID,Platform,Content,Timestamp
IND010,POST092,Twitter,"Watercolor vs. oil painting—Which one do you prefer?",2025-05-19 15:20:00
IND011,POST093,LinkedIn,"How to create a Michelin-star-level dish at home.",2025-05-20 13:50:00
IND011,POST094,Instagram,"Behind the scenes of a professional kitchen!",2025-05-21 17:30:00
IND011,POST095,Facebook,"The impact of farm-to-table dining on local economies.",2025-05-22 08:20:00
IND012,POST096,Twitter,"Why civic engagement matters in 2025.",2025-05-23 09:50:00
IND012,POST097,LinkedIn,"How new policies are shaping small business regulations.",2025-05-24 12:40:00
IND012,POST098,Facebook,"Breaking down the biggest public policy changes this year.",2025-05-25 14:55:00
IND013,POST099,Instagram,"Photography hacks for stunning portraits!",2025-05-26 11:30:00
IND013,POST100,Twitter,"The best DSLR cameras in 2025—Which one should you get?",2025-05-27 16:15:00
IND013,POST101,Facebook,"The evolution of photography styles over the last decade.",2025-05-28 10:50:00
IND014,POST102,LinkedIn,"How businesses can go zero-waste in their operations.",2025-05-29 14:00:00
IND014,POST103,Facebook,"Simple swaps for a more sustainable lifestyle.",2025-05-30 12:20:00
IND014,POST104,Twitter,"The impact of fast fashion on the environment.",2025-05-31 17:45:00
IND015,POST105,Instagram,"Top 5 luxury cars of the year—Which is your favorite?",2025-06-01 10:40:00
IND015,POST106,Facebook,"How electric sports cars are redefining performance.",2025-06-02 13:30:00
IND015,POST107,Twitter,"Would you buy a self-driving supercar? Let’s discuss!",2025-06-03 18:20:00
IND016,POST108,LinkedIn,"How nonprofits can leverage social media for impact.",2025-06-04 15:10:00
IND016,POST109,Facebook,"Volunteering stories: Making a real difference in communities.",2025-06-05 09:30:00
IND016,POST110,Twitter,"Why corporate social responsibility is more important than ever.",2025-06-06 12:40:00
IND017,POST111,Instagram,"Building your first AI model—where to start.",2025-06-07 08:55:00
IND017,POST112,Facebook,"How AI is transforming the job market.",2025-06-08 16:20:00
IND017,POST113,Twitter,"The ethics of AI—How can we ensure responsible innovation?",2025-06-09 14:10:00
IND018,POST114,LinkedIn,"The role of ballet in modern dance education.",2025-06-10 12:30:00
IND018,POST115,Instagram,"Best stretches for dancers—Stay flexible!",2025-06-11 09:15:00
IND018,POST116,Facebook,"Why dance is great for mental health and mindfulness.",2025-06-12 17:40:00
IND019,POST117,Twitter,"Esports in the Olympics—Is it finally happening?",2025-06-13 11:25:00
IND019,POST118,Instagram,"Behind the scenes at an esports tournament!",2025-06-14 08:45:00
IND019,POST119,Facebook,"How VR is changing the future of gaming.",2025-06-15 16:30:00
IND020,POST120,LinkedIn,"Yoga and mindfulness—Why they’re essential for productivity.",2025-06-16 12:00:00
IND020,POST121,Instagram,"5 beginner-friendly yoga poses to start your day!",2025-06-17 09:50:00
IND020,POST122,Facebook,"How breathwork can reduce stress and improve focus.",2025-06-18 18:10:00
IND021,POST123,Twitter,"Country music's biggest rising stars in 2025!",2025-06-19 10:45:00
IND021,POST124,Instagram,"A sneak peek into our latest Nashville studio session!",2025-06-20 13:30:00
IND021,POST125,Facebook,"The evolution of country music over the decades.",2025-06-21 17:55:00
IND022,POST126,LinkedIn,"How to plan a magical theme park trip on a budget.",2025-06-22 12:40:00
IND022,POST127,Facebook,"Disneyland vs. Universal—Which is the better experience?",2025-06-23 09:20:00
IND022,POST128,Twitter,"Behind the scenes of running a major theme park event.",2025-06-24 16:50:00
IND023,POST129,Instagram,"Best programming languages for app development in 2025.",2025-06-25 08:30:00
IND023,POST130,Twitter,"iOS vs. Android development—Which one is more in demand?",2025-06-26 14:10:00
IND023,POST131,Facebook,"The journey of building a successful mobile app.",2025-06-27 17:20:00
IND024,POST132,LinkedIn,"Minimalist home decor—How to make it work for you.",2025-06-28 13:15:00
IND024,POST133,Instagram,"Top interior design trends for 2025!",2025-06-29 10:50:00
IND024,POST134,Facebook,"How lighting affects the mood of your space.",2025-06-30 18:40:00
IND025,POST135,Twitter,"The art of storytelling in filmmaking.",2025-07-01 11:30:00
IND025,POST136,Instagram,"Behind the scenes of our latest indie film project!",2025-07-02 09:45:00
IND025,POST137,Facebook,"The impact of streaming services on the movie industry.",2025-07-03 16:25:00
